Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,record_date
1,5.1,3.5,1.4,0.2,Iris-setosa,2020-01-01
2,4.9,3.0,1.4,0.2,Iris-setosa,2020-01-02
3,4.7,3.2,1.3,0.2,Iris-setosa,2020-01-03
4,4.6,3.1,1.5,0.2,Iris-setosa,2020-01-04
5,5.0,3.6,1.4,0.2,Iris-setosa,2020-01-05
6,5.4,3.9,1.7,0.4,Iris-setosa,2020-01-06
7,4.6,3.4,1.4,0.3,Iris-setosa,2020-01-07
8,5.0,3.4,1.5,0.2,Iris-setosa,2020-01-08
9,4.4,2.9,1.4,0.2,Iris-setosa,2020-01-09
10,4.9,3.1,1.5,0.1,Iris-setosa,2020-01-10
11,5.4,3.7,1.5,0.2,Iris-setosa,2020-01-11
12,4.8,3.4,1.6,0.2,Iris-setosa,2020-01-12
13,4.8,3.0,1.4,0.1,Iris-setosa,2020-01-13
14,4.3,3.0,1.1,0.1,Iris-setosa,2020-01-14
15,5.8,4.0,1.2,0.2,Iris-setosa,2020-01-15
16,5.7,4.4,1.5,0.4,Iris-setosa,2020-01-16
17,5.4,3.9,1.3,0.4,Iris-setosa,2020-01-17
18,5.1,3.5,1.4,0.3,Iris-setosa,2020-01-18
19,5.7,3.8,1.7,0.3,Iris-setosa,2020-01-19
20,5.1,3.8,1.5,0.3,Iris-setosa,2020-01-20
21,5.4,3.4,1.7,0.2,Iris-setosa,2020-01-21
22,5.1,3.7,1.5,0.4,Iris-setosa,2020-01-22
23,4.6,3.6,1.0,0.2,Iris-setosa,2020-01-23
24,5.1,3.3,1.7,0.5,Iris-setosa,2020-01-24
25,4.8,3.4,1.9,0.2,Iris-setosa,2020-01-25
26,5.0,3.0,1.6,0.2,Iris-setosa,2020-01-26
27,5.0,3.4,1.6,0.4,Iris-setosa,2020-01-27
28,5.2,3.5,1.5,0.2,Iris-setosa,2020-01-28
29,5.2,3.4,1.4,0.2,Iris-setosa,2020-01-29
30,4.7,3.2,1.6,0.2,Iris-setosa,2020-01-30
31,4.8,3.1,1.6,0.2,Iris-setosa,2020-01-31
32,5.4,3.4,1.5,0.4,Iris-setosa,2020-02-01
33,5.2,4.1,1.5,0.1,Iris-setosa,2020-02-02
34,5.5,4.2,1.4,0.2,Iris-setosa,2020-02-03
35,4.9,3.1,1.5,0.1,Iris-setosa,2020-02-04
36,5.0,3.2,1.2,0.2,Iris-setosa,2020-02-05
37,5.5,3.5,1.3,0.2,Iris-setosa,2020-02-06
38,4.9,3.1,1.5,0.1,Iris-setosa,2020-02-07
39,4.4,3.0,1.3,0.2,Iris-setosa,2020-02-08
40,5.1,3.4,1.5,0.2,Iris-setosa,2020-02-09
41,5.0,3.5,1.3,0.3,Iris-setosa,2020-02-10
42,4.5,2.3,1.3,0.3,Iris-setosa,2020-02-11
43,4.4,3.2,1.3,0.2,Iris-setosa,2020-02-12
44,5.0,3.5,1.6,0.6,Iris-setosa,2020-02-13
45,5.1,3.8,1.9,0.4,Iris-setosa,2020-02-14
46,4.8,3.0,1.4,0.3,Iris-setosa,2020-02-15
47,5.1,3.8,1.6,0.2,Iris-setosa,2020-02-16
48,4.6,3.2,1.4,0.2,Iris-setosa,2020-02-17
49,5.3,3.7,1.5,0.2,Iris-setosa,2020-02-18
50,5.0,3.3,1.4,0.2,Iris-setosa,2020-02-19
51,7.0,3.2,4.7,1.4,Iris-versicolor,2020-02-20
52,6.4,3.2,4.5,1.5,Iris-versicolor,2020-02-21
53,6.9,3.1,4.9,1.5,Iris-versicolor,2020-02-22
54,5.5,2.3,4.0,1.3,Iris-versicolor,2020-02-23
55,6.5,2.8,4.6,1.5,Iris-versicolor,2020-02-24
56,5.7,2.8,4.5,1.3,Iris-versicolor,2020-02-25
57,6.3,3.3,4.7,1.6,Iris-versicolor,2020-02-26
58,4.9,2.4,3.3,1.0,Iris-versicolor,2020-02-27
59,6.6,2.9,4.6,1.3,Iris-versicolor,2020-02-28
60,5.2,2.7,3.9,1.4,Iris-versicolor,2020-02-29
61,5.0,2.0,3.5,1.0,Iris-versicolor,2020-03-01
62,5.9,3.0,4.2,1.5,Iris-versicolor,2020-03-02
63,6.0,2.2,4.0,1.0,Iris-versicolor,2020-03-03
64,6.1,2.9,4.7,1.4,Iris-versicolor,2020-03-04
65,5.6,2.9,3.6,1.3,Iris-versicolor,2020-03-05
66,6.7,3.1,4.4,1.4,Iris-versicolor,2020-03-06
67,5.6,3.0,4.5,1.5,Iris-versicolor,2020-03-07
68,5.8,2.7,4.1,1.0,Iris-versicolor,2020-03-08
69,6.2,2.2,4.5,1.5,Iris-versicolor,2020-03-09
70,5.6,2.5,3.9,1.1,Iris-versicolor,2020-03-10
71,5.9,3.2,4.8,1.8,Iris-versicolor,2020-03-11
72,6.1,2.8,4.0,1.3,Iris-versicolor,2020-03-12
73,6.3,2.5,4.9,1.5,Iris-versicolor,2020-03-13
74,6.1,2.8,4.7,1.2,Iris-versicolor,2020-03-14
75,6.4,2.9,4.3,1.3,Iris-versicolor,2020-03-15
76,6.6,3.0,4.4,1.4,Iris-versicolor,2020-03-16
77,6.8,2.8,4.8,1.4,Iris-versicolor,2020-03-17
78,6.7,3.0,5.0,1.7,Iris-versicolor,2020-03-18
79,6.0,2.9,4.5,1.5,Iris-versicolor,2020-03-19
80,5.7,2.6,3.5,1.0,Iris-versicolor,2020-03-20
81,5.5,2.4,3.8,1.1,Iris-versicolor,2020-03-21
82,5.5,2.4,3.7,1.0,Iris-versicolor,2020-03-22
83,5.8,2.7,3.9,1.2,Iris-versicolor,2020-03-23
84,6.0,2.7,5.1,1.6,Iris-versicolor,2020-03-24
85,5.4,3.0,4.5,1.5,Iris-versicolor,2020-03-25
86,6.0,3.4,4.5,1.6,Iris-versicolor,2020-03-26
87,6.7,3.1,4.7,1.5,Iris-versicolor,2020-03-27
88,6.3,2.3,4.4,1.3,Iris-versicolor,2020-03-28
89,5.6,3.0,4.1,1.3,Iris-versicolor,2020-03-29
90,5.5,2.5,4.0,1.3,Iris-versicolor,2020-03-30
91,5.5,2.6,4.4,1.2,Iris-versicolor,2020-03-31
92,6.1,3.0,4.6,1.4,Iris-versicolor,2020-04-01
93,5.8,2.6,4.0,1.2,Iris-versicolor,2020-04-02
94,5.0,2.3,3.3,1.0,Iris-versicolor,2020-04-03
95,5.6,2.7,4.2,1.3,Iris-versicolor,2020-04-04
96,5.7,3.0,4.2,1.2,Iris-versicolor,2020-04-05
97,5.7,2.9,4.2,1.3,Iris-versicolor,2020-04-06
98,6.2,2.9,4.3,1.3,Iris-versicolor,2020-04-07
99,5.1,2.5,3.0,1.1,Iris-versicolor,2020-04-08
100,5.7,2.8,4.1,1.3,Iris-versicolor,2020-04-09
101,6.3,3.3,6.0,2.5,Iris-virginica,2020-04-10
102,5.8,2.7,5.1,1.9,Iris-virginica,2020-04-11
103,7.1,3.0,5.9,2.1,Iris-virginica,2020-04-12
104,6.3,2.9,5.6,1.8,Iris-virginica,2020-04-13
105,6.5,3.0,5.8,2.2,Iris-virginica,2020-04-14
106,7.6,3.0,6.6,2.1,Iris-virginica,2020-04-15
107,4.9,2.5,4.5,1.7,Iris-virginica,2020-04-16
108,7.3,2.9,6.3,1.8,Iris-virginica,2020-04-17
109,6.7,2.5,5.8,1.8,Iris-virginica,2020-04-18
110,7.2,3.6,6.1,2.5,Iris-virginica,2020-04-19
111,6.5,3.2,5.1,2.0,Iris-virginica,2020-04-20
112,6.4,2.7,5.3,1.9,Iris-virginica,2020-04-21
113,6.8,3.0,5.5,2.1,Iris-virginica,2020-04-22
114,5.7,2.5,5.0,2.0,Iris-virginica,2020-04-23
115,5.8,2.8,5.1,2.4,Iris-virginica,2020-04-24
116,6.4,3.2,5.3,2.3,Iris-virginica,2020-04-25
117,6.5,3.0,5.5,1.8,Iris-virginica,2020-04-26
